feature,pearson_r,abs_r
Concentración de Emulgin (%),0.7976036120122934,0.7976036120122934
Tween 20,0.6685377003827148,0.6685377003827148
Aceite esencial de Verbena (%),-0.656970172311457,0.656970172311457
Potencia de Sonicación (%),0.3696228755799979,0.3696228755799979
Tiempo de sonicación (min),-0.3479213558979029,0.3479213558979029
Tween 80,-0.29700001195657477,0.29700001195657477
ID del Experimento,-0.2929558683191865,0.2929558683191865
Concentración de Agua (%),0.18012858164072595,0.18012858164072595
Temperatura de Medición (°C),-0.1332616282913294,0.1332616282913294
