feature,pearson_r,abs_r
Concentración de Agua (%),-0.4790104175495564,0.4790104175495564
Aceite esencial de Verbena (%),-0.4618406640718989,0.4618406640718989
Tiempo de sonicación (min),0.37008332998122,0.37008332998122
Temperatura de Medición (°C),-0.35409389250509515,0.35409389250509515
ID del Experimento,0.2818633742623418,0.2818633742623418
Tween 80,-0.26681373252473367,0.26681373252473367
Concentración de Emulgin (%),0.24082604092264037,0.24082604092264037
Tween 20,0.18664944743450831,0.18664944743450831
Potencia de Sonicación (%),-0.12648717922867925,0.12648717922867925
